"contract_id","lane","file","line","control_type","control_id","control_label","handlers","action_class","backend_slots","data_effect","preconditions","postconditions","current_status","priority","target_state"
"NP02-0069","Placeholder Host (multi-lane)","src\qml\views\PlaceholderSubmenuView.qml","4239","ModernComboBox","matterParentCombo","matterParentCombo","onActivated, onEditTextChanged","selection_change","listParentNames|saveClientProfile|saveMatterProfile","Reads parent client names for relational selectors. Creates/updates client profile and related directory fields. Creates/updates matter profile and related directory fields.","Lookup/model options must be loaded before selection change. Placeholder behavior must be replaced by live workflow implementation.","Dependent fields/lists refresh and remain coherent with selected value.","placeholder","P1","live"
"NP02-0070","Placeholder Host (multi-lane)","src\qml\views\PlaceholderSubmenuView.qml","4252","ModernComboBox","matterTypeCombo","matterTypeCombo","onActivated, onEditTextChanged","selection_change","listMatterNames|listMatterDirectory|getMatterProfile|saveMatterProfile|previewMatterNumber","Reads matter list for selectors. Reads matter directory rows for listing/search. Reads full matter profile payload for edit/view. Creates/updates matter profile and related directory fields. Calculates suggested matter number from client/type/date.","Lookup/model options must be loaded before selection change. Placeholder behavior must be replaced by live workflow implementation.","Dependent fields/lists refresh and remain coherent with selected value.","placeholder","P1","live"
"NP02-0071","Placeholder Host (multi-lane)","src\qml\views\PlaceholderSubmenuView.qml","4276","ModernComboBox","matterStatusCombo","matterStatusCombo","onActivated, onEditTextChanged","selection_change","listMatterNames|listMatterDirectory|getMatterProfile|saveMatterProfile|previewMatterNumber","Reads matter list for selectors. Reads matter directory rows for listing/search. Reads full matter profile payload for edit/view. Creates/updates matter profile and related directory fields. Calculates suggested matter number from client/type/date.","Lookup/model options must be loaded before selection change. Placeholder behavior must be replaced by live workflow implementation.","Dependent fields/lists refresh and remain coherent with selected value.","placeholder","P1","live"
"NP02-0072","Placeholder Host (multi-lane)","src\qml\views\PlaceholderSubmenuView.qml","4290","ModernTextField","matterPracticeAreaInput","matterPracticeAreaInput","onTextChanged","input_change","listMatterNames|listMatterDirectory|getMatterProfile|saveMatterProfile|previewMatterNumber","Reads matter list for selectors. Reads matter directory rows for listing/search. Reads full matter profile payload for edit/view. Creates/updates matter profile and related directory fields. Calculates suggested matter number from client/type/date.","Field must accept user input and stay within type/format rules. Placeholder behavior must be replaced by live workflow implementation.","Derived values and dirty-state tracking update immediately and consistently.","placeholder","P1","live"
"NP02-0073","Placeholder Host (multi-lane)","src\qml\views\PlaceholderSubmenuView.qml","4301","ModernTextField","matterResponsibleLawyerInput","matterResponsibleLawyerInput","onTextChanged","input_change","listMatterNames|listMatterDirectory|getMatterProfile|saveMatterProfile|previewMatterNumber","Reads matter list for selectors. Reads matter directory rows for listing/search. Reads full matter profile payload for edit/view. Creates/updates matter profile and related directory fields. Calculates suggested matter number from client/type/date.","Field must accept user input and stay within type/format rules. Placeholder behavior must be replaced by live workflow implementation.","Derived values and dirty-state tracking update immediately and consistently.","placeholder","P1","live"
"NP02-0074","Placeholder Host (multi-lane)","src\qml\views\PlaceholderSubmenuView.qml","4312","ModernComboBox","matterBillingArrangementCombo","matterBillingArrangementCombo","onActivated, onEditTextChanged","selection_change","listMatterNames|listMatterDirectory|getMatterProfile|saveMatterProfile|previewMatterNumber","Reads matter list for selectors. Reads matter directory rows for listing/search. Reads full matter profile payload for edit/view. Creates/updates matter profile and related directory fields. Calculates suggested matter number from client/type/date.","Lookup/model options must be loaded before selection change. Placeholder behavior must be replaced by live workflow implementation.","Dependent fields/lists refresh and remain coherent with selected value.","placeholder","P1","live"
"NP02-0075","Placeholder Host (multi-lane)","src\qml\views\PlaceholderSubmenuView.qml","4336","ModernTextField","matterBillingContactInput","matterBillingContactInput","onTextChanged","input_change","listMatterNames|listMatterDirectory|getMatterProfile|saveMatterProfile|previewMatterNumber","Reads matter list for selectors. Reads matter directory rows for listing/search. Reads full matter profile payload for edit/view. Creates/updates matter profile and related directory fields. Calculates suggested matter number from client/type/date.","Field must accept user input and stay within type/format rules. Placeholder behavior must be replaced by live workflow implementation.","Derived values and dirty-state tracking update immediately and consistently.","placeholder","P1","live"
"NP02-0076","Placeholder Host (multi-lane)","src\qml\views\PlaceholderSubmenuView.qml","4347","ModernTextField","matterBillingEmailInput","matterBillingEmailInput","onTextChanged","input_change","listMatterNames|listMatterDirectory|getMatterProfile|saveMatterProfile|previewMatterNumber","Reads matter list for selectors. Reads matter directory rows for listing/search. Reads full matter profile payload for edit/view. Creates/updates matter profile and related directory fields. Calculates suggested matter number from client/type/date.","Field must accept user input and stay within type/format rules. Placeholder behavior must be replaced by live workflow implementation.","Derived values and dirty-state tracking update immediately and consistently.","placeholder","P1","live"
"NP02-0077","Placeholder Host (multi-lane)","src\qml\views\PlaceholderSubmenuView.qml","4358","ModernTextField","matterDefaultRateInput","""475.00""","onTextChanged","input_change","listMatterNames|listMatterDirectory|getMatterProfile|saveMatterProfile|previewMatterNumber","Reads matter list for selectors. Reads matter directory rows for listing/search. Reads full matter profile payload for edit/view. Creates/updates matter profile and related directory fields. Calculates suggested matter number from client/type/date.","Field must accept user input and stay within type/format rules. Placeholder behavior must be replaced by live workflow implementation.","Derived values and dirty-state tracking update immediately and consistently.","placeholder","P1","live"
"NP02-0078","Placeholder Host (multi-lane)","src\qml\views\PlaceholderSubmenuView.qml","4370","ModernTextField","matterDefaultShareInput","""100.00""","onTextChanged","input_change","listMatterNames|listMatterDirectory|getMatterProfile|saveMatterProfile|previewMatterNumber","Reads matter list for selectors. Reads matter directory rows for listing/search. Reads full matter profile payload for edit/view. Creates/updates matter profile and related directory fields. Calculates suggested matter number from client/type/date.","Field must accept user input and stay within type/format rules. Placeholder behavior must be replaced by live workflow implementation.","Derived values and dirty-state tracking update immediately and consistently.","placeholder","P1","live"
"NP02-0079","Placeholder Host (multi-lane)","src\qml\views\PlaceholderSubmenuView.qml","4382","ModernTextField","matterDateOfEngagementInput","matterDateOfEngagementInput","onTextChanged","input_change","listMatterNames|listMatterDirectory|getMatterProfile|saveMatterProfile|previewMatterNumber","Reads matter list for selectors. Reads matter directory rows for listing/search. Reads full matter profile payload for edit/view. Creates/updates matter profile and related directory fields. Calculates suggested matter number from client/type/date.","Field must accept user input and stay within type/format rules. Placeholder behavior must be replaced by live workflow implementation.","Derived values and dirty-state tracking update immediately and consistently.","placeholder","P1","live"
"NP02-0080","Placeholder Host (multi-lane)","src\qml\views\PlaceholderSubmenuView.qml","4392","MouseArea","","(no_label)","onClicked, onDoubleClicked","command","saveClientProfile|saveMatterProfile","Creates/updates client profile and related directory fields. Creates/updates matter profile and related directory fields.","Required form fields must pass validation before command execution. Placeholder behavior must be replaced by live workflow implementation.","Requested backend operation completes with success/failure feedback and observable state change.","placeholder","P1","live"
"NP02-0081","Placeholder Host (multi-lane)","src\qml\views\PlaceholderSubmenuView.qml","4406","ModernTextField","matterDateOpenedInput","Qt.formatDate(new Date(), ""yyyy-MM-dd"")","onTextChanged","input_change","listMatterNames|listMatterDirectory|getMatterProfile|saveMatterProfile|previewMatterNumber","Reads matter list for selectors. Reads matter directory rows for listing/search. Reads full matter profile payload for edit/view. Creates/updates matter profile and related directory fields. Calculates suggested matter number from client/type/date.","Field must accept user input and stay within type/format rules. Placeholder behavior must be replaced by live workflow implementation.","Derived values and dirty-state tracking update immediately and consistently.","placeholder","P1","live"
"NP02-0082","Placeholder Host (multi-lane)","src\qml\views\PlaceholderSubmenuView.qml","4422","MouseArea","","(no_label)","onClicked, onDoubleClicked","command","saveClientProfile|saveMatterProfile","Creates/updates client profile and related directory fields. Creates/updates matter profile and related directory fields.","Required form fields must pass validation before command execution. Placeholder behavior must be replaced by live workflow implementation.","Requested backend operation completes with success/failure feedback and observable state change.","placeholder","P1","live"
"NP02-0083","Placeholder Host (multi-lane)","src\qml\views\PlaceholderSubmenuView.qml","4436","ModernTextField","matterDateClosedInput","matterDateClosedInput","onTextChanged","input_change","listMatterNames|listMatterDirectory|getMatterProfile|saveMatterProfile|previewMatterNumber","Reads matter list for selectors. Reads matter directory rows for listing/search. Reads full matter profile payload for edit/view. Creates/updates matter profile and related directory fields. Calculates suggested matter number from client/type/date.","Field must accept user input and stay within type/format rules. Placeholder behavior must be replaced by live workflow implementation.","Derived values and dirty-state tracking update immediately and consistently.","placeholder","P1","live"
"NP02-0084","Placeholder Host (multi-lane)","src\qml\views\PlaceholderSubmenuView.qml","4446","MouseArea","","(no_label)","onClicked, onDoubleClicked","command","saveClientProfile|saveMatterProfile","Creates/updates client profile and related directory fields. Creates/updates matter profile and related directory fields.","Required form fields must pass validation before command execution. Placeholder behavior must be replaced by live workflow implementation.","Requested backend operation completes with success/failure feedback and observable state change.","placeholder","P1","live"
"NP02-0085","Placeholder Host (multi-lane)","src\qml\views\PlaceholderSubmenuView.qml","4460","ModernTextField","matterCourtFileInput","matterCourtFileInput","onTextChanged","input_change","listMatterNames|listMatterDirectory|getMatterProfile|saveMatterProfile|previewMatterNumber","Reads matter list for selectors. Reads matter directory rows for listing/search. Reads full matter profile payload for edit/view. Creates/updates matter profile and related directory fields. Calculates suggested matter number from client/type/date.","Field must accept user input and stay within type/format rules. Placeholder behavior must be replaced by live workflow implementation.","Derived values and dirty-state tracking update immediately and consistently.","placeholder","P1","live"
"NP02-0086","Placeholder Host (multi-lane)","src\qml\views\PlaceholderSubmenuView.qml","4471","ModernTextField","matterOpposingPartyInput","matterOpposingPartyInput","onTextChanged","input_change","listMatterNames|listMatterDirectory|getMatterProfile|saveMatterProfile|previewMatterNumber","Reads matter list for selectors. Reads matter directory rows for listing/search. Reads full matter profile payload for edit/view. Creates/updates matter profile and related directory fields. Calculates suggested matter number from client/type/date.","Field must accept user input and stay within type/format rules. Placeholder behavior must be replaced by live workflow implementation.","Derived values and dirty-state tracking update immediately and consistently.","placeholder","P1","live"
"NP02-0087","Placeholder Host (multi-lane)","src\qml\views\PlaceholderSubmenuView.qml","4482","ModernTextField","matterReferralFromInput","matterReferralFromInput","onTextChanged","input_change","listMatterNames|listMatterDirectory|getMatterProfile|saveMatterProfile|previewMatterNumber","Reads matter list for selectors. Reads matter directory rows for listing/search. Reads full matter profile payload for edit/view. Creates/updates matter profile and related directory fields. Calculates suggested matter number from client/type/date.","Field must accept user input and stay within type/format rules. Placeholder behavior must be replaced by live workflow implementation.","Derived values and dirty-state tracking update immediately and consistently.","placeholder","P1","live"
"NP02-0088","Placeholder Host (multi-lane)","src\qml\views\PlaceholderSubmenuView.qml","4496","TextArea","conflictNotesInput","conflictNotesInput","onTextChanged","input_change","saveClientProfile|saveMatterProfile","Creates/updates client profile and related directory fields. Creates/updates matter profile and related directory fields.","Field must accept user input and stay within type/format rules. Placeholder behavior must be replaced by live workflow implementation.","Derived values and dirty-state tracking update immediately and consistently.","placeholder","P1","live"
"NP02-0089","Placeholder Host (multi-lane)","src\qml\views\PlaceholderSubmenuView.qml","4520","TextArea","matterDescriptionInput","matterDescriptionInput","onTextChanged","input_change","listMatterNames|listMatterDirectory|getMatterProfile|saveMatterProfile|previewMatterNumber","Reads matter list for selectors. Reads matter directory rows for listing/search. Reads full matter profile payload for edit/view. Creates/updates matter profile and related directory fields. Calculates suggested matter number from client/type/date.","Field must accept user input and stay within type/format rules. Placeholder behavior must be replaced by live workflow implementation.","Derived values and dirty-state tracking update immediately and consistently.","placeholder","P1","live"
"NP02-0090","Placeholder Host (multi-lane)","src\qml\views\PlaceholderSubmenuView.qml","4544","TextArea","notesInput","notesInput","onTextChanged","input_change","saveClientProfile|saveMatterProfile","Creates/updates client profile and related directory fields. Creates/updates matter profile and related directory fields.","Field must accept user input and stay within type/format rules. Placeholder behavior must be replaced by live workflow implementation.","Derived values and dirty-state tracking update immediately and consistently.","placeholder","P1","live"
"NP02-0091","Placeholder Host (multi-lane)","src\qml\views\PlaceholderSubmenuView.qml","4588","PillButton","","root.activeIsNewClientWizard()","onClicked","command","saveClientProfile|saveMatterProfile","Creates/updates client profile and related directory fields. Creates/updates matter profile and related directory fields.","Required form fields must pass validation before command execution. Placeholder behavior must be replaced by live workflow implementation.","Requested backend operation completes with success/failure feedback and observable state change.","placeholder","P1","live"
"NP02-0092","Placeholder Host (multi-lane)","src\qml\views\PlaceholderSubmenuView.qml","4615","PillButton","","""Export CSV""","onClicked","command","saveClientProfile|saveMatterProfile","Creates/updates client profile and related directory fields. Creates/updates matter profile and related directory fields.","Required form fields must pass validation before command execution. Placeholder behavior must be replaced by live workflow implementation.","Requested backend operation completes with success/failure feedback and observable state change.","placeholder","P0","live"
"NP02-0093","Placeholder Host (multi-lane)","src\qml\views\PlaceholderSubmenuView.qml","4631","PillButton","","root.detachedWindow ? ""Close"" : ""Cancel""","onClicked","command","saveClientProfile|saveMatterProfile","Creates/updates client profile and related directory fields. Creates/updates matter profile and related directory fields.","Required form fields must pass validation before command execution. Placeholder behavior must be replaced by live workflow implementation.","Requested backend operation completes with success/failure feedback and observable state change.","placeholder","P1","live"
"NP02-0094","Placeholder Host (multi-lane)","src\qml\views\PlaceholderSubmenuView.qml","4644","PillButton","","root.detachedWindow ? ""Return to Dock"" : ""Undock""","onClicked","command","saveClientProfile|saveMatterProfile","Creates/updates client profile and related directory fields. Creates/updates matter profile and related directory fields.","Required form fields must pass validation before command execution. Placeholder behavior must be replaced by live workflow implementation.","Requested backend operation completes with success/failure feedback and observable state change.","placeholder","P1","live"
"NP02-0095","Placeholder Host (multi-lane)","src\qml\views\PlaceholderSubmenuView.qml","4759","PillButton","","""Review""","onClicked","command","saveClientProfile|saveMatterProfile","Creates/updates client profile and related directory fields. Creates/updates matter profile and related directory fields.","Required form fields must pass validation before command execution. Placeholder behavior must be replaced by live workflow implementation.","Requested backend operation completes with success/failure feedback and observable state change.","placeholder","P1","live"
"NP02-0096","Placeholder Host (multi-lane)","src\qml\views\PlaceholderSubmenuView.qml","4770","PillButton","","""Save Anyway""","onClicked","command","saveClientProfile|saveMatterProfile","Creates/updates client profile and related directory fields. Creates/updates matter profile and related directory fields.","Required form fields must pass validation before command execution. Placeholder behavior must be replaced by live workflow implementation.","Requested backend operation completes with success/failure feedback and observable state change.","placeholder","P0","live"
"NP02-0097","Docketing & Deadlines","src\qml\views\TimeDocketView.qml","622","MouseArea","","(no_label)","onClicked, onPressed","command","saveTimeDocketEntry","Creates or updates time docket rows; recalculates fees/status.","Required form fields must pass validation before command execution.","Requested backend operation completes with success/failure feedback and observable state change.","wired","P1","live"
"NP02-0098","Docketing & Deadlines","src\qml\views\TimeDocketView.qml","1119","TextField","timerHms","timerHms","onAccepted","command","getTimeDocketAggregate","Reads aggregated time bucket state for date/client/matter context.","Required form fields must pass validation before command execution.","Requested backend operation completes with success/failure feedback and observable state change.","wired","P1","live"
"NP02-0099","Docketing & Deadlines","src\qml\views\TimeDocketView.qml","1170","PillButton","","""Cancel""","onClicked","command","saveTimeDocketEntry","Creates or updates time docket rows; recalculates fees/status.","Required form fields must pass validation before command execution.","Requested backend operation completes with success/failure feedback and observable state change.","wired","P1","live"
"NP02-0100","Docketing & Deadlines","src\qml\views\TimeDocketView.qml","1181","PillButton","applyBtn","""Apply""","onClicked","command","saveTimeDocketEntry","Creates or updates time docket rows; recalculates fees/status.","Required form fields must pass validation before command execution.","Requested backend operation completes with success/failure feedback and observable state change.","wired","P1","live"
"NP02-0101","Docketing & Deadlines","src\qml\views\TimeDocketView.qml","1415","MouseArea","","(no_label)","onClicked","command","saveTimeDocketEntry","Creates or updates time docket rows; recalculates fees/status.","Required form fields must pass validation before command execution.","Requested backend operation completes with success/failure feedback and observable state change.","wired","P1","live"
"NP02-0102","Docketing & Deadlines","src\qml\views\TimeDocketView.qml","1424","PillButton","","root.isBucketLocked() ? ""Locked"" : (root.isRunning ? ""Stop"" : ""Start"")","onClicked","command","saveTimeDocketEntry","Creates or updates time docket rows; recalculates fees/status.","Required form fields must pass validation before command execution.","Requested backend operation completes with success/failure feedback and observable state change.","wired","P1","live"
"NP02-0103","Docketing & Deadlines","src\qml\views\TimeDocketView.qml","1448","ModernTextField","dateInput","Qt.formatDate(new Date(), ""yyyy-MM-dd"")","onTextChanged","input_change","getTimeDocketAggregate","Reads aggregated time bucket state for date/client/matter context.","Field must accept user input and stay within type/format rules.","Derived values and dirty-state tracking update immediately and consistently.","wired","P2","live"
"NP02-0104","Docketing & Deadlines","src\qml\views\TimeDocketView.qml","1464","MouseArea","","(no_label)","onClicked, onDoubleClicked","command","saveTimeDocketEntry","Creates or updates time docket rows; recalculates fees/status.","Required form fields must pass validation before command execution.","Requested backend operation completes with success/failure feedback and observable state change.","wired","P1","live"
"NP02-0105","Docketing & Deadlines","src\qml\views\TimeDocketView.qml","1479","ModernTextField","timeInput","""0.0""","onTextChanged, onTextEdited","input_change","getTimeDocketAggregate","Reads aggregated time bucket state for date/client/matter context.","Field must accept user input and stay within type/format rules.","Derived values and dirty-state tracking update immediately and consistently.","wired","P2","live"
"NP02-0106","Docketing & Deadlines","src\qml\views\TimeDocketView.qml","1498","ModernComboBox","matterCombo","matterCombo","onActivated, onEditTextChanged","selection_change","listMatterNames|getTimeDocketAggregate","Reads matter list for selectors. Reads aggregated time bucket state for date/client/matter context.","Lookup/model options must be loaded before selection change.","Dependent fields/lists refresh and remain coherent with selected value.","wired","P2","live"
"NP02-0107","Docketing & Deadlines","src\qml\views\TimeDocketView.qml","1522","ModernComboBox","clientCombo","clientCombo","onActivated, onEditTextChanged","selection_change","listClientNames|getTimeDocketAggregate","Reads active client list for selectors. Reads aggregated time bucket state for date/client/matter context.","Lookup/model options must be loaded before selection change.","Dependent fields/lists refresh and remain coherent with selected value.","wired","P2","live"
"NP02-0108","Docketing & Deadlines","src\qml\views\TimeDocketView.qml","1546","ModernComboBox","taskCombo","taskCombo","onActivated, onEditTextChanged","selection_change","getTimeDocketAggregate","Reads aggregated time bucket state for date/client/matter context.","Lookup/model options must be loaded before selection change.","Dependent fields/lists refresh and remain coherent with selected value.","wired","P2","live"
"NP02-0109","Docketing & Deadlines","src\qml\views\TimeDocketView.qml","1560","TextArea","descInput","descInput","onTextChanged","input_change","getTimeDocketAggregate","Reads aggregated time bucket state for date/client/matter context.","Field must accept user input and stay within type/format rules.","Derived values and dirty-state tracking update immediately and consistently.","wired","P2","live"
"NP02-0110","Docketing & Deadlines","src\qml\views\TimeDocketView.qml","1587","ModernTextField","rateInput","""475.00""","onTextChanged","input_change","getTimeDocketAggregate","Reads aggregated time bucket state for date/client/matter context.","Field must accept user input and stay within type/format rules.","Derived values and dirty-state tracking update immediately and consistently.","wired","P2","live"
"NP02-0111","Docketing & Deadlines","src\qml\views\TimeDocketView.qml","1602","ModernTextField","billInput","""100""","onTextChanged","input_change","getTimeDocketAggregate","Reads aggregated time bucket state for date/client/matter context.","Field must accept user input and stay within type/format rules.","Derived values and dirty-state tracking update immediately and consistently.","wired","P2","live"
"NP02-0112","Docketing & Deadlines","src\qml\views\TimeDocketView.qml","1617","ModernTextField","feesInput","""$0.00""","","state_binding","saveTimeDocketEntry","Creates or updates time docket rows; recalculates fees/status.","Control binding must evaluate in active context without runtime errors.","Control state/binding updates without side effects or stale state.","unwired","P1","live"
"NP02-0113","Docketing & Deadlines","src\qml\views\TimeDocketView.qml","1719","PillButton","","""Set Draft""","onClicked","command","saveTimeDocketEntry","Creates or updates time docket rows; recalculates fees/status.","Required form fields must pass validation before command execution.","Requested backend operation completes with success/failure feedback and observable state change.","wired","P1","live"
"NP02-0114","Docketing & Deadlines","src\qml\views\TimeDocketView.qml","1731","PillButton","","""Mark Ready""","onClicked","command","saveTimeDocketEntry","Creates or updates time docket rows; recalculates fees/status.","Required form fields must pass validation before command execution.","Requested backend operation completes with success/failure feedback and observable state change.","wired","P1","live"
"NP02-0115","Docketing & Deadlines","src\qml\views\TimeDocketView.qml","1743","PillButton","","""Mark Billed""","onClicked","command","saveTimeDocketEntry","Creates or updates time docket rows; recalculates fees/status.","Required form fields must pass validation before command execution.","Requested backend operation completes with success/failure feedback and observable state change.","wired","P1","live"
"NP02-0116","Docketing & Deadlines","src\qml\views\TimeDocketView.qml","1755","PillButton","","""Save Docket""","onClicked","command","saveTimeDocketEntry","Creates or updates time docket rows; recalculates fees/status.","Required form fields must pass validation before command execution.","Requested backend operation completes with success/failure feedback and observable state change.","wired","P1","live"
"NP02-0117","Docketing & Deadlines","src\qml\views\TimeDocketView.qml","1767","PillButton","","root.detachedWindow ? ""Close"" : ""Cancel""","onClicked","command","saveTimeDocketEntry","Creates or updates time docket rows; recalculates fees/status.","Required form fields must pass validation before command execution.","Requested backend operation completes with success/failure feedback and observable state change.","wired","P1","live"
"NP02-0118","Docketing & Deadlines","src\qml\views\TimeDocketView.qml","1780","PillButton","","root.detachedWindow ? ""Return to Dock"" : ""Undock""","onClicked","command","saveTimeDocketEntry","Creates or updates time docket rows; recalculates fees/status.","Required form fields must pass validation before command execution.","Requested backend operation completes with success/failure feedback and observable state change.","wired","P1","live"
"NP02-0119","Docketing & Deadlines","src\qml\views\TimeDocketView.qml","1804","PillButton","","root.detachedWindow ? ""Close"" : ""Cancel""","onClicked","command","saveTimeDocketEntry","Creates or updates time docket rows; recalculates fees/status.","Required form fields must pass validation before command execution.","Requested backend operation completes with success/failure feedback and observable state change.","wired","P1","live"
"NP02-0120","Docketing & Deadlines","src\qml\views\TimeDocketView.qml","1817","PillButton","","root.detachedWindow ? ""Return to Dock"" : ""Undock""","onClicked","command","saveTimeDocketEntry","Creates or updates time docket rows; recalculates fees/status.","Required form fields must pass validation before command execution.","Requested backend operation completes with success/failure feedback and observable state change.","wired","P1","live"
"NP02-0121","Docketing & Deadlines","src\qml\views\TimeDocketView.qml","1886","PillButton","","""Switch Here""","onClicked","command","saveTimeDocketEntry","Creates or updates time docket rows; recalculates fees/status.","Required form fields must pass validation before command execution.","Requested backend operation completes with success/failure feedback and observable state change.","wired","P1","live"
"NP02-0122","Docketing & Deadlines","src\qml\views\TimeDocketView.qml","1898","PillButton","","""Open Docket""","onClicked","command","saveTimeDocketEntry","Creates or updates time docket rows; recalculates fees/status.","Required form fields must pass validation before command execution.","Requested backend operation completes with success/failure feedback and observable state change.","wired","P1","live"
"NP02-0123","Docketing & Deadlines","src\qml\views\TimeDocketView.qml","1916","PillButton","","""Cancel""","onClicked","command","saveTimeDocketEntry","Creates or updates time docket rows; recalculates fees/status.","Required form fields must pass validation before command execution.","Requested backend operation completes with success/failure feedback and observable state change.","wired","P1","live"
"NP02-0124","Docketing & Deadlines","src\qml\views\TimeDocketView.qml","1968","PillButton","","""Create Matter""","onClicked","command","saveTimeDocketEntry","Creates or updates time docket rows; recalculates fees/status.","Required form fields must pass validation before command execution.","Requested backend operation completes with success/failure feedback and observable state change.","wired","P1","live"
"NP02-0125","Docketing & Deadlines","src\qml\views\TimeDocketView.qml","1988","PillButton","","""Choose Matter""","onClicked","command","saveTimeDocketEntry","Creates or updates time docket rows; recalculates fees/status.","Required form fields must pass validation before command execution.","Requested backend operation completes with success/failure feedback and observable state change.","wired","P1","live"
"NP02-0126","Docketing & Deadlines","src\qml\views\TimeDocketView.qml","2006","PillButton","","""Client-only Draft""","onClicked","command","saveTimeDocketEntry","Creates or updates time docket rows; recalculates fees/status.","Required form fields must pass validation before command execution.","Requested backend operation completes with success/failure feedback and observable state change.","wired","P1","live"
"NP02-0127","Docketing & Deadlines","src\qml\views\TimeDocketView.qml","2019","PillButton","","""Cancel""","onClicked","command","saveTimeDocketEntry","Creates or updates time docket rows; recalculates fees/status.","Required form fields must pass validation before command execution.","Requested backend operation completes with success/failure feedback and observable state change.","wired","P1","live"
"NP02-0128","Billing, Payments & Tax","src\qml\views\TransactionsMasterView.qml","350","ModernTextField","","(no_label)","","state_binding","saveTransaction","Creates/updates transaction row and derived amounts.","Control binding must evaluate in active context without runtime errors.","Control state/binding updates without side effects or stale state.","unwired","P1","live"
"NP02-0129","Billing, Payments & Tax","src\qml\views\TransactionsMasterView.qml","351","ModernComboBox","classCombo","classCombo","onActivated, onEditTextChanged","selection_change","saveTransaction","Creates/updates transaction row and derived amounts.","Lookup/model options must be loaded before selection change.","Dependent fields/lists refresh and remain coherent with selected value.","wired","P2","live"
"NP02-0130","Billing, Payments & Tax","src\qml\views\TransactionsMasterView.qml","363","ModernComboBox","typeCombo","typeCombo","onActivated, onEditTextChanged","selection_change","saveTransaction","Creates/updates transaction row and derived amounts.","Lookup/model options must be loaded before selection change.","Dependent fields/lists refresh and remain coherent with selected value.","wired","P2","live"
"NP02-0131","Billing, Payments & Tax","src\qml\views\TransactionsMasterView.qml","375","ModernTextField","","(no_label)","","state_binding","saveTransaction","Creates/updates transaction row and derived amounts.","Control binding must evaluate in active context without runtime errors.","Control state/binding updates without side effects or stale state.","unwired","P1","live"
"NP02-0132","Billing, Payments & Tax","src\qml\views\TransactionsMasterView.qml","377","ModernComboBox","","(no_label)","","state_binding","saveTransaction","Creates/updates transaction row and derived amounts.","Control binding must evaluate in active context without runtime errors.","Control state/binding updates without side effects or stale state.","unwired","P1","live"
"NP02-0133","Billing, Payments & Tax","src\qml\views\TransactionsMasterView.qml","378","ModernComboBox","","(no_label)","","state_binding","saveTransaction","Creates/updates transaction row and derived amounts.","Control binding must evaluate in active context without runtime errors.","Control state/binding updates without side effects or stale state.","unwired","P1","live"
"NP02-0134","Billing, Payments & Tax","src\qml\views\TransactionsMasterView.qml","379","ModernComboBox","statusCombo","statusCombo","onActivated, onEditTextChanged","selection_change","saveTransaction","Creates/updates transaction row and derived amounts.","Lookup/model options must be loaded before selection change.","Dependent fields/lists refresh and remain coherent with selected value.","wired","P2","live"
"NP02-0135","Billing, Payments & Tax","src\qml\views\TransactionsMasterView.qml","392","ModernComboBox","","(no_label)","","state_binding","saveTransaction","Creates/updates transaction row and derived amounts.","Control binding must evaluate in active context without runtime errors.","Control state/binding updates without side effects or stale state.","unwired","P1","live"
"NP02-0136","Billing, Payments & Tax","src\qml\views\TransactionsMasterView.qml","393","ModernComboBox","","(no_label)","","state_binding","saveTransaction","Creates/updates transaction row and derived amounts.","Control binding must evaluate in active context without runtime errors.","Control state/binding updates without side effects or stale state.","unwired","P1","live"
"NP02-0137","Billing, Payments & Tax","src\qml\views\TransactionsMasterView.qml","395","ModernComboBox","","(no_label)","","state_binding","saveTransaction","Creates/updates transaction row and derived amounts.","Control binding must evaluate in active context without runtime errors.","Control state/binding updates without side effects or stale state.","unwired","P1","live"
"NP02-0138","Billing, Payments & Tax","src\qml\views\TransactionsMasterView.qml","396","ModernComboBox","","(no_label)","","state_binding","saveTransaction","Creates/updates transaction row and derived amounts.","Control binding must evaluate in active context without runtime errors.","Control state/binding updates without side effects or stale state.","unwired","P1","live"
"NP02-0139","Billing, Payments & Tax","src\qml\views\TransactionsMasterView.qml","398","ModernTextField","","(no_label)","","state_binding","saveTransaction","Creates/updates transaction row and derived amounts.","Control binding must evaluate in active context without runtime errors.","Control state/binding updates without side effects or stale state.","unwired","P1","live"
"NP02-0140","Billing, Payments & Tax","src\qml\views\TransactionsMasterView.qml","399","ModernTextField","","(no_label)","","state_binding","saveTransaction","Creates/updates transaction row and derived amounts.","Control binding must evaluate in active context without runtime errors.","Control state/binding updates without side effects or stale state.","unwired","P1","live"
"NP02-0141","Billing, Payments & Tax","src\qml\views\TransactionsMasterView.qml","400","ModernComboBox","","(no_label)","","state_binding","saveTransaction","Creates/updates transaction row and derived amounts.","Control binding must evaluate in active context without runtime errors.","Control state/binding updates without side effects or stale state.","unwired","P1","live"
"NP02-0142","Billing, Payments & Tax","src\qml\views\TransactionsMasterView.qml","401","ModernComboBox","hstExemptCombo","hstExemptCombo","onActivated, onEditTextChanged","selection_change","saveTransaction","Creates/updates transaction row and derived amounts.","Lookup/model options must be loaded before selection change.","Dependent fields/lists refresh and remain coherent with selected value.","wired","P2","live"
